art_id,core keyphrases
89386107,"challenging assembly, Cute design, easy assembly, Great bookcase, particleboard connections, keyhole fasteners, Met expectations, hardware not included"
70538846,"expected due to price, Well made, easy assembly, perfect size, easy wire access, can hold large TV and soundbar, really nice look"
415599,"Great size, Good storage, difficult assembly, easy to assemble, durable, drawers and baskets"
29481683,"functional, Good value"
29442663,"IKEA perfection, Sturdy, good looking, Metal base, Good quality, Simple, Light weight, Changeable orientation"
50324511,"Drawers, great add on, Convenient storage, out of sight, beloved by the child, Perfectly for a child"
70301542,"Nice and sturdy, Great storage space, Great shelving unit, Looks great, Easy assembly, attached to walls"
40501892,"Looks great, Elevates Kallax, easy to assemble, modern looking, makes bookcase more functional, provides height, raised legs"
39329384,"finished product, two drawers, off the floor, Little pricey"
80401292,"Perfect fit, Works great, holds wine bottles, Great shoe storage, functional, Kallax shelves, Easy to assemble"
39442686,"used for storage, Aesthetically pleasing, popular, sturdy"
99017445,"Easy to assemble, with doors and draws, Love it, Excellent storage, nice looking"
20454504,"Perfect fit, Small storage space, casters not effective, Easy to assemble"
90495596,"Easy to put together, neater look, nice for elevating"
501889,"Easy to assemble, Looks great, worth the money, Raised base, right height"
49294529,"Two shelves, easy to put together, not predrilled"
50334591,"Difficult to assemble, awesome for displaying things, appearance, functional, Perfect for vinyl storage, looks great"
79278250,"cube storage, Easy to put together, highly useful"
60278170,"Improved look, flimsy, Looks amazing, Easy install, Added doors and drawers"
70339291,"sturdy, Great shelf unit, long assembly, good purchase, Nice looking, Defective part, easy to assemble, modern aesthetic"
79294523,"quality product, tricky assembly"
89278259,"organized home office space, overall five-star rating, hold up well, screws broke, Easy to assemble, which expresses frustration or disappointment), Unable to purchase"
9442640,"Perfect size, Sturdy, easy to assemble"
49285817,"Look great, can support 30lbs, great on wall, easy assembly, Great use of space"
90510865,"Perfect, Worth every penny"
40415601,"durable, Great look, fits perfectly, Great storage, Small shelving, easy to assemble"
49481658,"lot of storage, Perfect desk, Study"
40346924,"Fits various rooms, Good product, great look, soft gray, Easy to assemble, Functional, wonderful storage"
59902658,"Beautiful design, supports bins and books, often out of stock, misleading description, easy on the eye"
29278304,"Expensive appearance, Installing doors and drawers, Nice look, well built, Excellent storage solution, easy assembly, versatile"
19490273,"Particle wood, struggles to assemble"
29481659,"sturdy, Love this desk, Space and storage, Sleek look, beautiful"
10324513,"Good product, extra cubbies left, Great bookshelf, design"
89294532,"games, Sturdy and well made, added desired look"
89442679,"Easy to assemble, Sturdy, good bargain, accessibility"
79442694,"Work well, Underframe, easy assembly, tons of storage"
79278293,"under windows, Looks great, baskets of toys, Variations of kallax cubes, Sturdy shelves, cushioned, wish better instructions, Unit"
19442710,"Love it, Light weight, new metal base"
10409932,"sturdy, organized sewing room, love, Looks great, Great closet storage, Small space, Easy assembly, Good product"
275848,"great for craft room, Easy assembly, Good quality product, organized stuff, Great storage, Great shelf unit, fits small spaces, terrific"
9442720,"provides space, solid and sturdy, Sewing & craft room, love look"
69329387,"crooked drawers, solid, smooth installation, Clean, permanent room feature, Frustrating item"
